mGL-A,mGL-H,cond,replicate,sampleNum
97,70,Neg,0,1
67,63,Neg,1,1
32,57,Neg,0,1
131,62,Neg,0,1
61,76,Neg,0,1
75,65,Neg,2,1
204,119,Neg,0,1
126,87,Neg,0,1
35,56,Neg,1,1
61,76,Neg,2,1
112,60,Neg,1,1
79,55,Neg,0,1
113,70,Neg,1,1
35,81,Neg,0,1
68,48,Neg,0,1
50,55,Neg,2,1
48,59,Neg,0,1
76,108,Neg,1,1
190,84,Neg,2,1
113,48,Neg,0,1
101,57,Neg,0,1
1,64,Neg,1,1
125,94,Neg,1,1
239,117,Neg,1,1
10,64,Neg,1,1
114,67,Neg,1,1
97,65,Neg,0,1
9,71,Neg,0,1
66,58,Neg,0,1
53,64,Neg,0,1
10,61,Neg,0,1
27,113,Neg,2,1
9,66,Neg,0,1
87,72,Neg,0,1
83,68,Neg,0,1
119,60,Neg,1,1
19,63,Neg,0,1
174,96,Neg,0,1
98,69,Neg,1,1
339,107,Neg,0,1
27,56,Neg,1,1
71,89,Neg,0,1
62,47,Neg,0,1
39,79,Neg,1,1
10,55,Neg,2,1
20,64,Neg,0,1
59,93,Neg,1,1
49,57,Neg,0,1
126,118,Neg,0,1
108,67,Neg,2,1
67,40,Neg,1,1
161,89,Neg,0,1
97,82,Neg,1,1
11,72,Neg,1,1
65,52,Neg,0,1
39,72,Neg,2,1
51,57,Neg,1,1
10,82,Neg,0,1
57,53,Neg,0,1
138,100,Neg,1,1
132,81,Neg,0,1
12,58,Neg,1,1
122,60,Neg,2,1
66,107,Neg,0,1
75,86,Neg,1,1
27,74,Neg,2,1
95,73,Neg,0,1
129,105,Neg,1,1
5,65,Neg,1,1
59,70,Neg,1,1
33,48,Neg,2,1
129,75,Neg,0,1
77,47,Neg,0,1
35,60,Neg,1,1
147,70,Neg,1,1
55,71,Neg,0,1
29,65,Neg,1,1
109,86,Neg,1,1
26,75,Neg,0,1
156,108,Neg,0,1
57,69,Neg,0,1
71,99,Neg,0,1
17,72,Neg,1,1
97,65,Neg,2,1
136,63,Neg,0,1
130,80,Neg,0,1
63,64,Neg,0,1
33,70,Neg,1,1
186,93,Neg,2,1
20,61,Neg,0,1
116,73,Neg,0,1
18,75,Neg,2,1
79,61,Neg,2,1
56,48,Neg,0,1
121,71,Neg,0,1
34,43,Neg,0,1
96,92,Neg,0,1
16,57,Neg,0,1
25,46,Neg,0,1
34,71,Neg,2,1
5,67,Neg,0,1
168,103,Neg,0,1
20,93,Neg,0,1
108,97,Neg,0,1
75,72,Neg,0,1
1,68,Neg,2,1
67,80,Neg,0,1
73,71,Neg,0,1
8,102,Neg,0,1
29,73,Neg,1,1
69,72,Neg,1,1
59,53,Neg,0,1
6,59,Neg,1,1
76,73,Neg,0,1
92,78,Neg,0,1
28,65,Neg,0,1
39,59,Neg,1,1
20,53,Neg,0,1
162,109,Neg,2,1
21,53,Neg,2,1
86,90,Neg,1,1
54,64,Neg,1,1
138,90,Neg,0,1
109,93,Neg,1,1
43,55,Neg,0,1
87,85,Neg,0,1
148,103,Neg,1,1
16,67,Neg,0,1
111,92,Neg,2,1
112,76,Neg,2,1
6,58,Neg,0,1
44,63,Neg,1,1
53,118,Neg,1,1
36,55,Neg,0,1
83,51,Neg,1,1
37,77,Neg,0,1
58,71,Neg,0,1
136,91,Neg,1,1
3,80,Neg,0,1
119,89,Neg,0,1
2,93,Neg,1,1
6,67,Neg,0,1
59,86,Neg,1,1
24,77,Neg,1,1
146,88,Neg,1,1
46,96,Neg,0,1
65,94,Neg,1,1
28,55,Neg,0,1
127,74,Neg,1,1
134,86,Neg,0,1
84,60,Neg,0,1
7,74,Neg,1,1
6,44,Neg,1,1
98,89,Neg,1,1
161,116,Neg,0,1
45,66,Neg,1,1
119,71,Neg,0,1
30,74,Neg,1,1
113,64,Neg,1,1
30,79,Neg,0,1
12,68,Neg,2,1
71,77,Neg,1,1
57,55,Neg,2,1
6,47,Neg,1,1
1,42,Neg,0,1
58,62,Neg,0,1
45,125,Neg,2,1
141,87,Neg,2,1
62,46,Neg,0,1
222,103,Neg,0,1
161,124,Neg,2,1
145,95,Neg,0,1
55,52,Neg,0,1
140,81,Neg,1,1
104,101,Neg,0,1
76,58,Neg,0,1
114,101,Neg,0,1
28,83,Neg,0,1
39,115,Neg,1,1
37,48,Neg,1,1
102,54,Neg,2,1
13,45,Neg,1,1
35,64,Neg,1,1
38,73,Neg,0,1
46,62,Neg,0,1
56,85,Neg,1,1
118,98,Neg,0,1
12,50,Neg,2,1
194,101,Neg,2,1
56,49,Neg,1,1
100,60,Neg,0,1
175,83,Neg,0,1
92,81,Neg,0,1
119,62,Neg,0,1
113,52,Neg,0,1
27,57,Neg,1,1
50,99,Neg,1,1
89,99,Neg,1,1
41,56,Neg,1,1
99,115,Neg,0,1
12,35,Neg,1,1
15,58,Neg,0,1
22,57,Neg,0,1
13,64,Neg,1,1
13,72,Neg,0,1
40,49,Neg,1,1
148,97,Neg,0,1
67,87,Neg,0,1
11,56,Neg,2,1
46,72,Neg,0,1
223,123,Neg,0,1
59,70,Neg,1,1
75,79,Neg,0,1
105,112,Neg,0,1
24,65,Neg,0,1
132,93,Neg,1,1
70,107,Neg,0,1
112,82,Neg,0,1
117,54,Neg,0,1
16,94,Neg,1,1
51,77,Neg,0,1
154,76,Neg,2,1
36,48,Neg,0,1
81,57,Neg,0,1
3,72,Neg,0,1
24,86,Neg,2,1
34,71,Neg,0,1
25,75,Neg,1,1
110,53,Neg,1,1
119,63,Neg,2,1
190,88,Neg,1,1
27,39,Neg,0,1
86,75,Neg,0,1
10,81,Neg,0,1
26,67,Neg,0,1
42,65,Neg,0,1
44,71,Neg,0,1
39,59,Neg,2,1
85,52,Neg,1,1
108,87,Neg,0,1
128,60,Neg,2,1
96,69,Neg,1,1
175,113,Neg,0,1
13,64,Neg,0,1
46,87,Neg,0,1
56,68,Neg,0,1
79,103,Neg,0,1
1,61,Neg,1,1
8,40,Neg,0,1
210,113,Neg,2,1
105,71,Neg,0,1
197,136,Neg,0,1
87,59,Neg,2,1
100,46,Neg,1,1
70,55,Neg,0,1
25,72,Neg,1,1
44,78,Neg,0,1
26,42,Neg,0,1
