mGL-A,mGL-H,cond,replicate,sampleNum
7498,3664,mGL,0,1
736,400,mGL,2,3
691,461,mGL,0,1
2280,1076,mGL,0,3
6286,3198,mGL,2,1
3481,2448,mGL,1,2
2236,1284,mGL,0,2
1864,1080,mGL,1,3
417,208,mGL,1,1
57,69,mGL,2,4
2646,1449,mGL,0,2
3810,1441,mGL,0,2
1603,1049,mGL,0,2
2123,1313,mGL,1,3
274,160,mGL,2,1
912,438,mGL,0,1
1200,792,mGL,0,1
4359,1595,mGL,2,2
8229,4470,mGL,1,1
20,63,mGL,1,1
16888,10501,mGL,1,1
1962,1083,mGL,1,3
1603,1168,mGL,1,4
7554,2966,mGL,0,1
28,48,mGL,2,2
3,50,mGL,0,1
155,123,mGL,2,4
808,403,mGL,0,2
3309,1855,mGL,0,1
30,66,mGL,0,2
1070,497,mGL,1,4
7444,2782,mGL,2,2
172,84,mGL,2,4
1213,674,mGL,2,1
25194,11485,mGL,0,2
3089,1710,mGL,0,2
805,425,mGL,0,3
5,82,mGL,0,2
114,91,mGL,2,2
135,81,mGL,0,1
14772,9500,mGL,2,3
1410,938,mGL,1,4
509,406,mGL,0,3
838,549,mGL,1,4
9079,4478,mGL,1,2
199,172,mGL,2,3
5234,3268,mGL,1,4
1755,418,mGL,0,2
1002,622,mGL,2,1
1582,778,mGL,2,3
33,72,mGL,0,2
10400,4829,mGL,0,3
3457,2137,mGL,0,2
616,250,mGL,2,1
5673,3316,mGL,2,4
2252,854,mGL,2,3
76,78,mGL,2,3
1361,1019,mGL,1,4
58,78,mGL,1,1
112,112,mGL,0,2
643,399,mGL,2,2
302,220,mGL,0,2
2607,1649,mGL,1,1
3471,2393,mGL,0,3
9243,5955,mGL,1,1
3115,1856,mGL,0,2
190,85,mGL,2,2
14269,7238,mGL,0,3
928,652,mGL,1,2
6798,3755,mGL,0,1
87,72,mGL,0,1
9967,5848,mGL,0,1
3609,2346,mGL,1,4
1882,1155,mGL,1,3
2473,1384,mGL,2,1
3473,1862,mGL,2,2
221,118,mGL,2,3
180,100,mGL,2,3
192,104,mGL,0,3
8104,3323,mGL,2,4
5340,3331,mGL,1,4
10,73,mGL,0,2
2128,894,mGL,2,4
18705,11385,mGL,2,1
3795,1509,mGL,0,2
2353,1489,mGL,2,3
38,74,mGL,0,1
3461,2327,mGL,1,4
66,113,mGL,2,1
1348,789,mGL,0,3
1,57,mGL,0,2
128,81,mGL,0,2
140,95,mGL,1,3
6519,4095,mGL,1,3
74,80,mGL,0,3
3201,1483,mGL,0,1
225,92,mGL,2,4
5142,3359,mGL,1,3
38,76,mGL,2,1
2575,1315,mGL,2,1
1986,1271,mGL,2,1
145,87,mGL,0,2
8605,5723,mGL,1,3
6430,3929,mGL,0,1
317,199,mGL,2,3
97,91,mGL,0,1
830,558,mGL,2,4
27150,8902,mGL,1,3
4352,2534,mGL,0,1
73,73,mGL,2,1
3518,2168,mGL,1,1
18714,10600,mGL,1,1
1463,761,mGL,1,4
1470,552,mGL,2,4
552,286,mGL,0,2
24,113,mGL,1,3
405,396,mGL,0,1
1249,891,mGL,0,3
1,61,mGL,2,3
1533,804,mGL,1,2
10101,4710,mGL,1,2
98,80,mGL,0,2
2363,1397,mGL,2,3
159,92,mGL,2,1
2676,1773,mGL,1,2
2175,1571,mGL,1,1
13700,6102,mGL,0,3
145,112,mGL,2,1
25833,11127,mGL,1,1
10673,7651,mGL,0,3
4233,2692,mGL,0,3
1702,921,mGL,1,4
1395,905,mGL,2,1
36255,17815,mGL,1,4
7193,3609,mGL,1,4
5800,3827,mGL,1,4
8391,3476,mGL,1,1
94,109,mGL,0,3
87,51,mGL,2,4
127,81,mGL,2,4
37,74,mGL,1,1
4697,3396,mGL,1,2
3053,1763,mGL,1,4
2498,1420,mGL,0,1
30,48,mGL,1,1
23,84,mGL,2,2
22,53,mGL,0,1
12257,6932,mGL,0,3
1722,960,mGL,0,1
1140,726,mGL,1,4
1552,861,mGL,2,1
155,84,mGL,2,3
14475,9242,mGL,1,1
185,69,mGL,1,3
6961,3176,mGL,0,1
24,48,mGL,0,2
11831,6498,mGL,1,2
34,79,mGL,0,2
2252,1468,mGL,0,3
26203,11620,mGL,1,4
143,88,mGL,2,1
82,91,mGL,2,4
292,151,mGL,2,1
1974,993,mGL,0,2
9,36,mGL,2,4
76,77,mGL,0,3
9713,5832,mGL,1,3
105,77,mGL,2,1
11002,5657,mGL,2,4
31,68,mGL,1,1
6598,3700,mGL,0,2
418,196,mGL,2,4
4184,3135,mGL,1,2
4180,1861,mGL,1,1
118,85,mGL,0,1
49,53,mGL,1,4
8148,6152,mGL,1,1
4130,2296,mGL,0,3
22,65,mGL,1,4
5371,2443,mGL,0,2
6669,3090,mGL,0,2
7375,4355,mGL,1,3
345,135,mGL,2,1
5795,3425,mGL,0,2
2567,1720,mGL,1,1
3315,1890,mGL,1,4
3178,2147,mGL,1,2
4445,2101,mGL,2,3
8598,3946,mGL,0,3
1165,774,mGL,0,1
5109,2706,mGL,0,1
89,125,mGL,2,2
5008,3373,mGL,1,4
6196,3851,mGL,0,1
993,728,mGL,1,2
31274,20238,mGL,1,2
23,68,mGL,1,4
1080,716,mGL,2,3
340,216,mGL,1,2
2775,1408,mGL,2,2
6386,4169,mGL,2,2
1042,549,mGL,0,1
32,62,mGL,2,1
16434,7829,mGL,0,3
2679,1820,mGL,0,2
7913,3764,mGL,2,4
498,290,mGL,0,2
3135,1919,mGL,2,2
9665,5384,mGL,2,4
17870,8534,mGL,0,1
2705,1864,mGL,0,2
666,357,mGL,1,3
882,545,mGL,1,2
2442,1739,mGL,1,3
10688,5489,mGL,1,3
3489,2268,mGL,0,3
10456,4489,mGL,1,1
3297,1821,mGL,2,2
40973,26940,mGL,1,4
115,108,mGL,2,2
127,92,mGL,2,3
299,165,mGL,2,2
2700,1627,mGL,1,4
85,48,mGL,0,1
38,75,mGL,1,3
1913,1216,mGL,2,2
5578,4050,mGL,1,3
122,82,mGL,2,2
1765,1166,mGL,0,1
2584,1279,mGL,1,1
142,63,mGL,1,4
904,452,mGL,0,1
218,150,mGL,2,2
42261,23412,mGL,1,1
2219,1635,mGL,1,2
4953,3749,mGL,1,3
4664,3247,mGL,0,3
12384,9334,mGL,1,1
190,72,mGL,2,4
195,174,mGL,0,1
191,122,mGL,1,3
3097,1923,mGL,0,3
4207,2560,mGL,1,4
5431,3166,mGL,0,3
206,204,mGL,0,1
75,89,mGL,2,1
9351,5229,mGL,0,2
10476,4530,mGL,0,2
988,587,mGL,1,4
5,55,mGL,0,3
165,99,mGL,1,2
1084,754,mGL,0,3
4996,3168,mGL,2,3
7516,4252,mGL,0,3
3578,1968,mGL,0,2
3586,2396,mGL,0,1
40,76,mGL,2,4
234,84,mGL,2,3
133,125,mGL,2,4
1454,732,mGL,1,1
2,46,mGL,0,3
7786,3389,mGL,0,1
6558,4328,mGL,0,3
22147,13684,mGL,0,2
5035,2395,mGL,1,1
5898,3309,mGL,1,1
3694,2597,mGL,1,1
2066,1142,mGL,1,2
881,475,mGL,2,2
143,128,mGL,1,2
6113,3131,mGL,1,4
99,99,mGL,2,4
211,123,mGL,2,3
3128,2063,mGL,0,3
94,92,mGL,2,1
4521,2565,mGL,0,1
1064,649,mGL,2,3
1867,1029,mGL,1,3
25,71,mGL,2,3
808,448,mGL,1,2
7,51,mGL,2,2
910,665,mGL,2,3
4425,1937,mGL,1,3
9362,4800,mGL,1,1
140,118,mGL,2,1
8912,5016,mGL,1,1
34,68,mGL,2,1
280,228,mGL,2,2
14,73,mGL,2,1
3401,2250,mGL,0,2
508,331,mGL,2,1
37,63,mGL,2,1
134,149,mGL,2,3
3904,2466,mGL,0,1
143,105,mGL,2,1
1399,732,mGL,0,3
1560,1083,mGL,1,4
4041,1701,mGL,2,3
1566,1095,mGL,0,3
3445,2024,mGL,0,1
4429,2119,mGL,0,3
2997,2224,mGL,2,1
119,70,mGL,0,1
2705,1722,mGL,2,2
97,133,mGL,2,4
2113,1467,mGL,2,3
1244,884,mGL,1,2
3,59,mGL,0,3
474,249,mGL,0,3
4657,2824,mGL,0,3
1144,710,mGL,1,4
1095,771,mGL,0,1
21728,12253,mGL,1,4
11617,6849,mGL,1,1
2452,1471,mGL,1,2
612,413,mGL,2,4
732,367,mGL,2,3
9597,3885,mGL,0,1
885,588,mGL,0,3
4793,3359,mGL,1,2
1858,1324,mGL,1,2
2092,1210,mGL,1,3
2557,1536,mGL,0,3
405,243,mGL,0,1
114,71,mGL,1,4
381,203,mGL,2,2
1415,710,mGL,2,1
1643,1299,mGL,1,1
17725,7317,mGL,1,3
69,114,mGL,1,4
113,91,mGL,2,4
6489,2457,mGL,1,4
109,116,mGL,1,1
2320,1406,mGL,0,2
3649,2565,mGL,0,1
5395,3512,mGL,1,3
603,415,mGL,2,1
3741,2723,mGL,0,1
200,56,mGL,0,1
2161,1356,mGL,2,2
1261,815,mGL,0,3
3248,2422,mGL,1,2
10,68,mGL,0,3
3141,2174,mGL,1,4
4403,3200,mGL,1,4
11,66,mGL,0,2
152,121,mGL,2,1
1557,977,mGL,0,2
199,79,mGL,1,1
47,43,mGL,1,4
26,89,mGL,1,3
65,100,mGL,2,1
22,69,mGL,0,3
7681,4145,mGL,1,3
1666,892,mGL,2,3
5282,2778,mGL,0,1
5901,3473,mGL,1,2
3499,2157,mGL,1,3
94,113,mGL,2,1
135,114,mGL,2,3
37,46,mGL,2,1
12251,5290,mGL,1,2
263,132,mGL,2,4
2466,1745,mGL,1,4
2003,1255,mGL,1,1
7652,5261,mGL,1,1
933,563,mGL,0,2
176,85,mGL,2,4
19407,11128,mGL,1,4
78,55,mGL,0,1
131,56,mGL,2,2
7985,4944,mGL,1,3
1564,629,mGL,2,2
188,87,mGL,2,2
15873,9177,mGL,1,3
1530,899,mGL,1,1
89,97,mGL,0,1
205,140,mGL,1,3
5655,2960,mGL,2,3
165,84,mGL,0,3
287,166,mGL,2,3
81,67,mGL,0,3
15658,7894,mGL,1,2
14250,9296,mGL,0,3
1676,1138,mGL,0,3
15,63,mGL,2,4
2216,1382,mGL,2,1
5855,3911,mGL,0,2
7657,3434,mGL,0,1
17,69,mGL,0,1
39,132,mGL,2,1
168,100,mGL,1,3
254,122,mGL,0,3
46,61,mGL,1,4
10322,6686,mGL,1,1
552,521,mGL,2,4
1100,819,mGL,0,3
92,95,mGL,1,2
2366,1040,mGL,0,2
6826,4977,mGL,1,2
654,341,mGL,2,4
1974,1315,mGL,0,1
550,481,mGL,1,1
1154,571,mGL,0,1
7407,3819,mGL,1,2
7634,5102,mGL,0,1
7245,4571,mGL,1,1
6129,3224,mGL,1,4
1482,1076,mGL,0,3
11373,5442,mGL,1,4
279,138,mGL,2,4
703,475,mGL,0,3
39,89,mGL,2,4
2806,1658,mGL,0,3
30,58,mGL,0,2
241,166,mGL,2,3
83,75,mGL,0,2
1912,1088,mGL,2,1
181,68,mGL,2,2
633,421,mGL,0,1
74,50,mGL,2,3
115,75,mGL,0,3
169,109,mGL,2,2
93,69,mGL,0,1
1433,997,mGL,2,1
44,82,mGL,0,3
7915,5239,mGL,0,1
1229,693,mGL,2,1
107,70,mGL,0,1
18363,11355,mGL,1,4
2199,1279,mGL,1,3
865,513,mGL,1,4
2092,1130,mGL,2,1
255,168,mGL,0,3
3465,2321,mGL,2,1
3953,1890,mGL,1,1
742,472,mGL,0,3
170,151,mGL,2,1
117,65,mGL,2,1
517,300,mGL,2,4
2800,1609,mGL,2,1
26188,14394,mGL,1,3
8245,5841,mGL,1,1
11251,4942,mGL,1,1
34,69,mGL,0,1
5826,3933,mGL,0,2
1080,745,mGL,1,1
205,101,mGL,1,3
2367,1599,mGL,1,2
781,507,mGL,0,2
244,105,mGL,0,3
7,66,mGL,2,1
167,161,mGL,2,2
1945,1124,mGL,0,2
149,74,mGL,0,1
338,198,mGL,1,3
22898,14388,mGL,1,1
613,459,mGL,0,2
3380,2131,mGL,0,1
227,177,mGL,2,4
101,79,mGL,0,3
9295,3572,mGL,2,4
983,630,mGL,1,4
4073,1703,mGL,0,2
96,83,mGL,2,1
13,59,mGL,1,3
628,379,mGL,0,2
1614,1093,mGL,1,3
4083,1882,mGL,0,3
40,69,mGL,2,2
129,87,mGL,2,2
8246,3447,mGL,1,4
171,127,mGL,0,3
322,240,mGL,2,3
18,64,mGL,0,3
181,84,mGL,1,2
41,59,mGL,0,3
4452,2962,mGL,1,2
1575,1208,mGL,0,2
124,66,mGL,1,4
249,181,mGL,2,2
36,57,mGL,2,3
1190,554,mGL,2,1
277,199,mGL,2,3
1032,627,mGL,0,1
208,108,mGL,0,3
9446,4453,mGL,1,3
6079,3253,mGL,2,2
941,680,mGL,0,2
6071,3907,mGL,1,3
3457,2376,mGL,1,3
30,76,mGL,2,2
6353,4339,mGL,0,3
46,87,mGL,0,3
71,76,mGL,2,4
154,123,mGL,2,2
3999,3045,mGL,1,4
20,53,mGL,2,4
548,405,mGL,1,4
6878,2430,mGL,2,3
3936,1755,mGL,0,2
40,63,mGL,2,2
32,103,mGL,1,3
2279,1338,mGL,1,1
3201,1556,mGL,0,2
97,70,mGL,0,2
2218,1023,mGL,2,1
3329,2264,mGL,1,1
834,621,mGL,1,1
159,74,mGL,2,2
1581,840,mGL,2,2
3495,2020,mGL,1,4
101,86,mGL,0,2
55,43,mGL,0,2
9620,6486,mGL,1,4
6312,2718,mGL,2,2
4087,2423,mGL,0,2
8127,4877,mGL,1,2
301,131,mGL,1,2
12500,6459,mGL,1,2
42,68,mGL,1,4
176,73,mGL,1,3
2018,1423,mGL,1,3
3942,2667,mGL,0,1
4048,1744,mGL,0,2
4195,2976,mGL,1,2
2430,1571,mGL,0,3
50,65,mGL,2,1
1015,732,mGL,0,1
817,574,mGL,1,1
5568,2118,mGL,2,1
7562,3481,mGL,0,2
3283,2508,mGL,1,1
2252,1529,mGL,0,2
2400,1372,mGL,0,2
96,97,mGL,2,1
16,94,mGL,2,4
1307,861,mGL,2,3
16704,7898,mGL,1,2
1221,756,mGL,2,2
2735,1630,mGL,1,1
5533,2426,mGL,1,2
1561,888,mGL,0,2
93,132,mGL,2,4
97,55,mGL,0,1
10623,4860,mGL,2,2
43630,24047,mGL,1,1
2129,1035,mGL,0,1
2653,1410,mGL,0,2
1316,962,mGL,2,3
873,583,mGL,2,4
3660,1882,mGL,1,1
75,124,mGL,0,1
3302,2171,mGL,1,1
140,112,mGL,2,1
175,92,mGL,2,1
1640,869,mGL,0,2
3152,2118,mGL,0,2
39373,21789,mGL,1,3
26997,12148,mGL,1,2
22304,11944,mGL,0,3
1249,790,mGL,1,2
10342,5143,mGL,0,3
3402,2346,mGL,1,1
1099,562,mGL,0,2
5137,3532,mGL,0,3
1500,1014,mGL,0,1
11555,4527,mGL,0,2
54,59,mGL,0,3
21,65,mGL,1,1
470,342,mGL,1,3
61,77,mGL,1,4
177,137,mGL,2,1
613,384,mGL,0,3
35419,22016,mGL,0,2
2085,1128,mGL,2,4
12341,5336,mGL,0,2
1891,1305,mGL,0,2
230,149,mGL,2,3
164,87,mGL,0,2
2814,1454,mGL,0,3
1636,893,mGL,1,2
6125,3399,mGL,0,1
2921,1832,mGL,1,2
3631,2475,mGL,0,2
1009,576,mGL,1,1
4447,2440,mGL,0,3
1280,662,mGL,0,2
548,306,mGL,1,3
8203,4159,mGL,2,3
3209,1517,mGL,0,3
3192,2057,mGL,0,2
12620,5150,mGL,2,2
1382,951,mGL,1,4
1076,701,mGL,0,2
89,57,mGL,0,1
91,91,mGL,0,2
40,86,mGL,2,1
6312,2886,mGL,1,1
5516,2651,mGL,1,2
2240,1589,mGL,0,3
3598,1287,mGL,2,4
18,93,mGL,2,1
1500,905,mGL,1,2
82,97,mGL,1,2
1288,897,mGL,2,4
1673,1041,mGL,0,2
132,125,mGL,2,2
16,68,mGL,2,2
2143,1006,mGL,0,2
54,71,mGL,2,1
3961,1944,mGL,0,2
69,61,mGL,1,4
1092,399,mGL,2,3
4794,1897,mGL,2,1
4993,2290,mGL,1,2
81,98,mGL,1,2
1537,635,mGL,0,3
14,57,mGL,2,4
13194,5285,mGL,0,2
76,94,mGL,1,2
21749,9469,mGL,0,1
86,88,mGL,0,2
2866,1786,mGL,0,2
2766,1461,mGL,0,2
1303,778,mGL,2,1
29,60,mGL,2,1
102,99,mGL,0,3
186,140,mGL,2,3
331,150,mGL,1,4
80,107,mGL,1,1
130,90,mGL,2,2
6817,3655,mGL,1,3
8100,4318,mGL,1,1
2467,1376,mGL,1,4
4106,1990,mGL,2,1
5404,3936,mGL,1,2
7449,3392,mGL,0,1
5382,3242,mGL,1,4
14801,7173,mGL,0,1
119,63,mGL,2,4
11076,6909,mGL,2,1
5544,2296,mGL,2,4
750,471,mGL,1,3
2014,1152,mGL,1,3
12495,5779,mGL,0,3
2150,1016,mGL,1,1
1784,1205,mGL,0,3
1933,1296,mGL,1,1
1843,1181,mGL,0,3
128,85,mGL,1,1
2135,1134,mGL,0,3
162,88,mGL,1,1
300,144,mGL,2,2
997,497,mGL,1,2
2627,1430,mGL,1,2
2579,1621,mGL,1,1
2642,1772,mGL,1,1
7613,4716,mGL,1,4
3903,2594,mGL,1,3
5309,3029,mGL,2,1
5696,2758,mGL,1,1
1504,1069,mGL,1,1
2113,1115,mGL,0,3
65,63,mGL,2,1
144,84,mGL,2,3
2776,1972,mGL,0,1
21566,14192,mGL,0,1
70,68,mGL,1,1
2160,1242,mGL,1,2
13,53,mGL,2,1
800,629,mGL,1,4
244,212,mGL,2,4
3781,2619,mGL,1,1
205,125,mGL,2,3
1095,682,mGL,0,2
1230,727,mGL,0,1
2030,1317,mGL,0,2
191,145,mGL,1,3
10530,5139,mGL,0,2
84,62,mGL,0,2
3801,2394,mGL,1,2
13338,8122,mGL,0,1
20,69,mGL,1,3
1712,1167,mGL,0,3
2940,2168,mGL,0,3
1546,1037,mGL,1,1
72,70,mGL,2,2
110,74,mGL,1,1
6987,3611,mGL,2,2
512,262,mGL,2,4
12851,5895,mGL,0,2
8634,5648,mGL,0,3
15975,9026,mGL,2,4
4641,2896,mGL,1,1
3156,1722,mGL,1,3
17,49,mGL,0,2
4291,2415,mGL,2,3
13411,8224,mGL,1,4
11788,7662,mGL,1,4
242,140,mGL,2,2
16,42,mGL,2,1
470,316,mGL,1,2
561,325,mGL,0,1
2333,1330,mGL,2,3
160,83,mGL,0,3
705,439,mGL,0,1
3939,2433,mGL,0,1
149,80,mGL,0,3
7024,4162,mGL,0,3
1686,1138,mGL,1,4
2127,1271,mGL,0,2
46,65,mGL,1,1
103,80,mGL,1,2
2905,1848,mGL,0,3
2107,1072,mGL,0,1
10647,5085,mGL,1,4
2922,1648,mGL,2,1
914,589,mGL,2,1
6996,4563,mGL,0,3
283,215,mGL,0,2
4482,1863,mGL,0,3
4951,2622,mGL,0,3
1389,868,mGL,0,2
330,192,mGL,0,2
3197,2021,mGL,0,1
2552,1272,mGL,0,1
3052,1690,mGL,2,2
88,43,mGL,2,3
543,429,mGL,1,1
1271,637,mGL,2,1
20,82,mGL,0,1
21237,11916,mGL,0,2
98,84,mGL,0,1
1329,783,mGL,1,3
76,127,mGL,1,2
98,71,mGL,1,2
10427,6134,mGL,1,3
113,76,mGL,1,2
117,75,mGL,1,2
96,62,mGL,2,2
5914,3152,mGL,2,4
185,154,mGL,0,2
7453,3826,mGL,0,2
2074,978,mGL,0,3
58,88,mGL,0,1
3775,2570,mGL,0,1
2427,1462,mGL,1,3
1493,753,mGL,2,4
2245,1130,mGL,1,1
1201,599,mGL,2,1
35459,20775,mGL,1,1
2094,1252,mGL,2,2
1236,653,mGL,0,3
89,72,mGL,2,4
1810,1061,mGL,1,4
2025,1044,mGL,0,1
3,49,mGL,1,4
4136,2623,mGL,0,3
2853,1004,mGL,2,2
586,384,mGL,0,1
1468,946,mGL,2,3
5768,3841,mGL,0,3
67,81,mGL,0,1
127,99,mGL,1,4
138,117,mGL,0,2
12766,6915,mGL,2,3
72,74,mGL,0,2
7144,4405,mGL,1,2
145,135,mGL,2,2
10039,7129,mGL,1,4
1214,729,mGL,0,1
3595,1991,mGL,2,1
2125,1192,mGL,1,1
26,52,mGL,0,1
40,84,mGL,2,3
5412,3183,mGL,2,4
90,140,mGL,1,2
1628,1238,mGL,0,3
8525,4422,mGL,0,2
904,686,mGL,2,1
3104,1968,mGL,1,2
3533,1861,mGL,1,2
868,508,mGL,0,3
1492,960,mGL,0,2
44,98,mGL,0,1
131,71,mGL,2,2
1536,990,mGL,0,2
1688,919,mGL,0,3
3796,2008,mGL,0,3
266,241,mGL,0,3
6366,3529,mGL,1,2
150,130,mGL,1,3
94,65,mGL,2,2
1688,1172,mGL,1,2
63,60,mGL,1,2
2141,1234,mGL,0,1
113,87,mGL,2,2
813,502,mGL,1,2
174,93,mGL,2,2
1045,738,mGL,0,3
46,63,mGL,1,1
2978,2072,mGL,1,2
52,69,mGL,2,1
4233,2381,mGL,2,1
29,113,mGL,2,1
3545,1850,mGL,0,1
3656,1765,mGL,0,2
1083,671,mGL,1,1
1215,682,mGL,0,3
15,32,mGL,1,4
9046,6260,mGL,0,3
676,279,mGL,2,3
1072,607,mGL,0,3
2993,1911,mGL,0,1
7399,3935,mGL,1,3
1725,1209,mGL,2,4
1081,573,mGL,2,1
77,85,mGL,2,1
2716,1794,mGL,1,3
3051,1863,mGL,0,1
12987,6167,mGL,1,4
118,80,mGL,2,2
5035,2644,mGL,1,1
3296,2127,mGL,1,1
18015,10355,mGL,1,3
11362,8012,mGL,0,2
94,90,mGL,2,1
9354,6494,mGL,1,4
1667,883,mGL,2,2
3562,1481,mGL,2,3
10325,7629,mGL,1,3
609,303,mGL,1,4
3071,2052,mGL,1,4
86,83,mGL,0,3
7888,4817,mGL,1,3
4668,3027,mGL,2,2
15642,6743,mGL,1,2
1334,821,mGL,2,2
893,576,mGL,1,1
5386,3881,mGL,0,1
8296,3631,mGL,2,1
7173,4360,mGL,1,3
3892,2690,mGL,0,1
1792,1204,mGL,0,3
49,44,mGL,0,2
212,95,mGL,2,3
784,434,mGL,2,1
396,180,mGL,1,2
7162,4233,mGL,0,2
2053,1287,mGL,0,3
84,79,mGL,0,3
43,72,mGL,0,3
2664,1916,mGL,0,2
88,96,mGL,0,2
3006,1685,mGL,2,3
409,222,mGL,2,3
61,77,mGL,2,2
4456,2408,mGL,0,2
803,555,mGL,0,1
2723,1722,mGL,0,1
991,664,mGL,0,1
2667,1558,mGL,1,3
3259,1620,mGL,0,1
7,59,mGL,1,4
128,82,mGL,1,2
2195,1575,mGL,0,1
78,85,mGL,2,1
1452,899,mGL,0,3
18,56,mGL,1,2
18970,9031,mGL,2,1
130,67,mGL,2,1
14157,7062,mGL,0,3
17,38,mGL,1,2
47,55,mGL,0,2
428,266,mGL,2,1
788,547,mGL,0,2
4154,2231,mGL,1,4
3129,2508,mGL,2,4
3442,2315,mGL,0,3
52,50,mGL,2,1
5868,3207,mGL,0,2
1308,548,mGL,2,4
7776,4529,mGL,0,3
49,55,mGL,0,2
100,93,mGL,0,2
1880,1130,mGL,0,2
11671,5913,mGL,1,3
3015,1774,mGL,0,1
32,65,mGL,2,2
12407,6700,mGL,0,2
54,55,mGL,1,2
43,71,mGL,2,2
1189,799,mGL,1,4
611,478,mGL,1,4
2395,1571,mGL,0,2
9892,5569,mGL,1,2
9066,5500,mGL,0,1
58,76,mGL,0,2
18746,9778,mGL,1,3
3434,1645,mGL,1,2
118,109,mGL,2,2
2946,1727,mGL,0,1
4124,2929,mGL,0,3
57,68,mGL,0,1
1571,936,mGL,0,2
1524,1138,mGL,1,4
877,510,mGL,0,1
941,690,mGL,1,3
361,161,mGL,0,1
29965,14249,mGL,1,1
942,604,mGL,1,3
86,63,mGL,0,3
3534,2239,mGL,2,3
5732,3739,mGL,1,2
76,66,mGL,2,2
300,177,mGL,1,4
95,70,mGL,2,4
3029,1636,mGL,1,2
84,60,mGL,2,3
1759,1086,mGL,1,2
293,115,mGL,0,3
126,103,mGL,0,3
81,64,mGL,2,2
759,517,mGL,2,2
1538,941,mGL,1,3
5214,2041,mGL,2,1
52,62,mGL,0,3
220,163,mGL,0,2
3414,1187,mGL,1,3
1016,677,mGL,2,1
13435,7187,mGL,0,1
1946,1150,mGL,0,2
749,439,mGL,2,2
1031,711,mGL,0,2
2826,2260,mGL,1,4
5467,3658,mGL,0,2
124,90,mGL,1,4
1721,991,mGL,0,3
50,73,mGL,0,3
14348,7946,mGL,1,3
7007,4627,mGL,1,4
4541,2287,mGL,1,3
3563,2471,mGL,2,2
51,84,mGL,0,2
97,93,mGL,1,2
366,273,mGL,1,1
93,67,mGL,0,3
14551,7514,mGL,1,1
4811,3396,mGL,0,2
74,63,mGL,2,4
44,128,mGL,0,2
48,55,mGL,2,1
14,45,mGL,1,3
3087,2248,mGL,2,3
5204,3141,mGL,1,3
634,323,mGL,2,1
41,79,mGL,2,3
119,123,mGL,2,4
1555,1118,mGL,1,2
2440,1490,mGL,1,1
12187,8191,mGL,1,1
65,76,mGL,2,1
2964,1619,mGL,1,1
1635,1036,mGL,2,2
164,131,mGL,2,1
3045,1909,mGL,0,2
25,61,mGL,1,3
109,124,mGL,2,2
778,401,mGL,0,1
53,47,mGL,0,1
1893,817,mGL,1,1
65,67,mGL,0,1
15772,9733,mGL,1,2
3027,2181,mGL,1,2
2381,1200,mGL,0,3
4046,2457,mGL,1,1
10093,7184,mGL,1,3
4426,2431,mGL,2,1
199,83,mGL,0,3
182,156,mGL,0,2
6,94,mGL,2,2
3691,2461,mGL,1,2
89,89,mGL,2,1
10559,4915,mGL,1,1
6,76,mGL,2,2
1179,747,mGL,2,3
5294,3340,mGL,1,4
1194,681,mGL,0,3
4121,2010,mGL,1,4
16131,6829,mGL,1,2
906,300,mGL,0,3
1154,916,mGL,1,4
16473,7543,mGL,0,2
3351,1361,mGL,2,3
1955,1042,mGL,1,2
9,89,mGL,0,2
33963,18615,mGL,1,1
103,81,mGL,2,3
193,123,mGL,1,2
1067,624,mGL,1,1
120,79,mGL,2,3
3,93,mGL,1,4
1159,674,mGL,0,3
2083,1401,mGL,0,1
3350,2293,mGL,1,4
5000,2826,mGL,2,1
481,325,mGL,1,1
3597,2042,mGL,0,2
12631,5786,mGL,1,4
473,314,mGL,1,4
15,64,mGL,2,3
2030,1283,mGL,1,2
155,120,mGL,1,4
1976,973,mGL,0,2
111,156,mGL,1,2
2620,1202,mGL,1,2
56,46,mGL,0,3
918,497,mGL,1,2
1273,854,mGL,0,3
48897,19356,mGL,2,1
911,472,mGL,1,2
35,51,mGL,2,2
5951,3664,mGL,0,2
164,92,mGL,0,2
4653,2866,mGL,0,2
80,80,mGL,2,3
787,513,mGL,2,3
380,190,mGL,0,1
114,124,mGL,0,3
2424,1582,mGL,1,2
6678,3181,mGL,1,2
2550,1615,mGL,0,1
1941,1191,mGL,0,3
2107,1498,mGL,0,1
6213,4061,mGL,1,3
1267,631,mGL,0,2
89,71,mGL,2,1
2464,1342,mGL,0,1
3219,1948,mGL,2,3
13226,8970,mGL,1,2
4513,2379,mGL,2,4
11,75,mGL,1,2
949,584,mGL,2,1
3119,1849,mGL,0,1
2226,1117,mGL,2,1
41,64,mGL,0,3
77,112,mGL,1,3
1351,714,mGL,2,1
583,203,mGL,0,1
47,39,mGL,0,1
3284,1762,mGL,1,4
5378,3654,mGL,0,1
12310,5702,mGL,1,1
41,67,mGL,1,1
9076,6434,mGL,1,1
60,56,mGL,2,1
1276,616,mGL,0,3
6376,3490,mGL,1,1
2728,1475,mGL,0,1
362,132,mGL,2,2
11918,6562,mGL,0,1
21984,12000,mGL,0,2
24,60,mGL,2,4
109,72,mGL,2,3
5080,3243,mGL,0,2
1381,1001,mGL,1,4
1059,653,mGL,1,2
175,75,mGL,2,4
101,71,mGL,2,4
