CFSE-A,sulfo-Cyanine5-A,replicate,sampleNum,cond
13040,40,0,0,CFSE_NaAz
4101,22,0,0,CFSE_NaAz
734,67,1,0,CFSE_NaAz
3163,64,1,0,CFSE_NaAz
1669,75,0,0,CFSE_NaAz
1255,10,1,0,CFSE_NaAz
1406,58,0,0,CFSE_NaAz
1180,66,0,0,CFSE_NaAz
10270,56,1,0,CFSE_NaAz
742,28,0,0,CFSE_NaAz
1454,46,1,0,CFSE_NaAz
3920,49,1,0,CFSE_NaAz
3423,46,0,0,CFSE_NaAz
1088,37,0,0,CFSE_NaAz
16933,41,0,0,CFSE_NaAz
1832,145,0,0,CFSE_NaAz
375,67,0,0,CFSE_NaAz
2225,52,0,0,CFSE_NaAz
9367,29,0,0,CFSE_NaAz
661,38,0,0,CFSE_NaAz
6159,27,0,0,CFSE_NaAz
1169,94,0,0,CFSE_NaAz
10366,58,0,0,CFSE_NaAz
2564,34,0,0,CFSE_NaAz
9636,25,0,0,CFSE_NaAz
2469,111,0,0,CFSE_NaAz
2245,16,1,0,CFSE_NaAz
1930,35,0,0,CFSE_NaAz
2223,12,1,0,CFSE_NaAz
1138,12,0,0,CFSE_NaAz
2211,15,0,0,CFSE_NaAz
6875,89,0,0,CFSE_NaAz
1162,118,1,0,CFSE_NaAz
1764,87,0,0,CFSE_NaAz
19505,32,0,0,CFSE_NaAz
2425,30,0,0,CFSE_NaAz
9630,76,0,0,CFSE_NaAz
2322,149,0,0,CFSE_NaAz
5292,52,0,0,CFSE_NaAz
1596,118,0,0,CFSE_NaAz
17317,42,0,0,CFSE_NaAz
6847,36,1,0,CFSE_NaAz
12367,68,0,0,CFSE_NaAz
15088,87,0,0,CFSE_NaAz
826,58,0,0,CFSE_NaAz
1746,95,0,0,CFSE_NaAz
4782,153,1,0,CFSE_NaAz
1694,60,0,0,CFSE_NaAz
2251,153,0,0,CFSE_NaAz
571,103,0,0,CFSE_NaAz
8337,43,0,0,CFSE_NaAz
2009,64,0,0,CFSE_NaAz
1042,94,0,0,CFSE_NaAz
4497,97,0,0,CFSE_NaAz
205,87,0,0,CFSE_NaAz
18240,35,0,0,CFSE_NaAz
7359,34,0,0,CFSE_NaAz
2826,30,0,0,CFSE_NaAz
10402,44,0,0,CFSE_NaAz
3649,51,1,0,CFSE_NaAz
589,43,0,0,CFSE_NaAz
821,15,1,0,CFSE_NaAz
50920,17,0,0,CFSE_NaAz
3509,30,0,0,CFSE_NaAz
7930,56,0,0,CFSE_NaAz
2180,3,0,0,CFSE_NaAz
3819,61,0,0,CFSE_NaAz
6069,216,0,0,CFSE_NaAz
12331,63,0,0,CFSE_NaAz
1645,17,0,0,CFSE_NaAz
2862,33,0,0,CFSE_NaAz
3278,44,0,0,CFSE_NaAz
12927,29,0,0,CFSE_NaAz
1991,49,0,0,CFSE_NaAz
5636,138,0,0,CFSE_NaAz
557,67,1,0,CFSE_NaAz
3983,22,0,0,CFSE_NaAz
4609,53,0,0,CFSE_NaAz
20102,22,0,0,CFSE_NaAz
10386,79,0,0,CFSE_NaAz
4411,140,0,0,CFSE_NaAz
5264,32,0,0,CFSE_NaAz
3582,8,0,0,CFSE_NaAz
5295,36,1,0,CFSE_NaAz
2498,29,0,0,CFSE_NaAz
10223,30,1,0,CFSE_NaAz
7974,20,1,0,CFSE_NaAz
502,9,0,0,CFSE_NaAz
71097,11,1,0,CFSE_NaAz
1508,99,1,0,CFSE_NaAz
3817,18,0,0,CFSE_NaAz
4577,65,0,0,CFSE_NaAz
2460,25,0,0,CFSE_NaAz
1899,17,0,0,CFSE_NaAz
8019,87,0,0,CFSE_NaAz
1857,44,0,0,CFSE_NaAz
6996,35,0,0,CFSE_NaAz
5229,33,1,0,CFSE_NaAz
3939,86,0,0,CFSE_NaAz
1008,50,1,0,CFSE_NaAz
9130,7,1,0,CFSE_NaAz
2453,85,0,0,CFSE_NaAz
2818,27,0,0,CFSE_NaAz
10973,58,0,0,CFSE_NaAz
3501,28,1,0,CFSE_NaAz
2647,53,0,0,CFSE_NaAz
1590,128,1,0,CFSE_NaAz
38,20,1,0,CFSE_NaAz
6794,51,0,0,CFSE_NaAz
1643,114,0,0,CFSE_NaAz
3990,27,0,0,CFSE_NaAz
10646,38,1,0,CFSE_NaAz
16228,92,1,0,CFSE_NaAz
6770,60,0,0,CFSE_NaAz
5275,8,0,0,CFSE_NaAz
6292,142,0,0,CFSE_NaAz
7054,61,0,0,CFSE_NaAz
7949,25,0,0,CFSE_NaAz
7220,122,0,0,CFSE_NaAz
17828,93,0,0,CFSE_NaAz
5125,73,0,0,CFSE_NaAz
3780,42,0,0,CFSE_NaAz
1560,79,0,0,CFSE_NaAz
10274,48,0,0,CFSE_NaAz
15308,28,0,0,CFSE_NaAz
1559,153,1,0,CFSE_NaAz
4284,6,0,0,CFSE_NaAz
1427,54,0,0,CFSE_NaAz
12869,131,0,0,CFSE_NaAz
13342,96,0,0,CFSE_NaAz
6505,51,0,0,CFSE_NaAz
1058,34,0,0,CFSE_NaAz
621,63,0,0,CFSE_NaAz
1303,93,1,0,CFSE_NaAz
3744,52,0,0,CFSE_NaAz
1753,31,1,0,CFSE_NaAz
7147,42,0,0,CFSE_NaAz
10327,45,0,0,CFSE_NaAz
10816,59,0,0,CFSE_NaAz
405,101,0,0,CFSE_NaAz
6328,105,0,0,CFSE_NaAz
619,108,0,0,CFSE_NaAz
942,36,0,0,CFSE_NaAz
2471,18,1,0,CFSE_NaAz
6769,31,0,0,CFSE_NaAz
7235,45,0,0,CFSE_NaAz
1206,32,0,0,CFSE_NaAz
